method,hit@5,recall@5,mrr@5,ndcg@5
dense_search,0.65,0.65,0.6166666666666667,1.3020130861048487
sparse_search,0.0,0.0,0.0,0.0
hybrid_search,0.65,0.65,0.6166666666666667,1.3020130861048487
hybrid_rrf,0.65,0.65,0.6166666666666667,1.3020130861048487
hybrid_reranker,0.65,0.65,0.6166666666666667,1.5024892826838059
all_combined,0.65,0.65,0.6166666666666667,1.5024892826838059
